Base_Lvl,Sub_Lvl,pzzle_amt,Adv_ID_Start,Challenge_Adv_ID,challenge_level_id,challenge_sols
L1,1,17,1,17,3x3-0A-AAC,2
L1,2,19,18,36,3x4-0A-AAF,3
L1,3,15,37,51,3x4-0A-ABD,2
L1,4,19,52,70,3x4-0B-AAO,2
L1,5,15,71,85,3x4-0B-ABD,2
L1,6,16,86,101,3x4-0B-ABT,2
L1,7,14,102,115,3x4-0B-ACH,2
L1,8,23,116,138,3x5-0A-AAI,2
L1,9,22,139,160,3x5-0A-ABE,2
L1,10,17,161,177,3x5-0A-ABV,2
L1,11,15,178,192,3x5-0A-ACK,3
L1,12,15,193,207,3x5-0B-AAB,3
L1,13,16,208,223,3x5-0B-AAR,2
L1,14,18,224,241,3x5-0B-ABJ,2
L1,15,16,242,257,3x5-0B-ABZ,2
L2,1,15,258,272,3x5-0B-ACO,2
L2,2,17,273,289,3x5-0B-ADG,2
L2,3,15,290,304,3x5-0B-ADU,2
L2,4,16,305,320,3x5-0B-AEI,2
L2,5,20,321,340,3x5-0B-AFE,2
L2,6,18,341,358,3x6-0A-AAP,2
L2,7,15,359,373,3x6-0A-ABE,2
L2,8,15,374,388,3x6-0A-ABU,2
L2,9,18,389,406,3x6-0A-ACL,2
L2,10,17,407,423,3x6-0A-ADD,2
L2,11,18,424,441,3x6-0A-ADU,3
L2,12,23,442,464,3x6-0A-AEY,3
L2,13,10,465,474,3x6-0A-AFB,2
L2,14,24,475,498,3x6-0A-AFZ,2
L2,15,15,499,513,3x6-0A-AGO,2
L3,1,15,514,528,3x6-0A-AHD,2
L3,2,16,529,544,3x6-0A-AHT,2
L3,3,15,545,559,3x6-0A-AII,2
L3,4,15,560,574,3x6-0A-AIX,2
L3,5,16,575,590,3x6-0A-AJN,3
L3,6,3,591,593,3x6-0A-AJP,3
L3,7,2,594,595,3x6-0A-AJS,4
L3,8,2,596,597,3x6-0A-AJU,4
L3,9,2,598,599,3x6-0A-AJW,4
L3,10,2,600,601,3x6-0A-AJY,4
L3,11,5,602,606,3x6-0A-AKD,4
L3,12,3,607,609,3x6-0A-AKG,4
L3,13,2,610,611,3x6-0A-AKI,5
L3,14,2,612,613,3x6-0A-AKK,5
L3,15,27,614,640,3x6-0A-ALT,2
L4,1,25,641,665,4x4-0A-AAD,3
L4,2,16,666,681,4x4-0A-AAZ,3
L4,3,15,682,696,4x4-0A-ABI,2
L4,4,15,697,711,4x4-0A-ABX,3
L4,5,24,712,735,4x4-0A-ACV,3
L4,6,19,736,754,4x4-0B-AAJ,2
L4,7,15,755,769,4x4-0B-AAT,2
L4,8,24,770,793,4x4-0B-ABW,2
L4,9,16,794,809,4x4-0B-ACM,2
L4,10,21,810,830,4x5-0A-AAC,2
L4,11,17,831,847,4x5-0A-AAT,2
L4,12,18,848,865,4x5-0A-ABS,2
L4,13,20,866,885,4x5-0A-ACF,2
L4,14,22,886,907,4x5-0A-ADC,2
L4,15,18,908,925,4x5-0A-ADT,2
L5,1,19,926,944,4x5-0A-AEM,3
L5,2,20,945,964,4x5-0A-AFG,3
L5,3,16,965,980,4x5-0A-AFW,2
L5,4,21,981,1001,4x5-0A-AGR,3
L5,5,17,1002,1018,4x5-0A-AHI,3
L5,6,27,1019,1045,4x5-0A-AIJ,2
L5,7,15,1046,1060,4x5-0A-AIY,2
L5,8,16,1061,1076,4x5-0A-AJO,3
L5,9,24,1077,1100,4x5-0A-AKM,2
L5,10,15,1101,1115,4x5-0A-ALB,2
L5,11,20,1116,1135,4x5-0A-ALV,3
L5,12,19,1136,1154,4x5-0A-AMO,3
L5,13,15,1155,1169,4x5-0A-AND,2
L5,14,15,1170,1184,4x5-0A-ANS,2
L5,15,15,1185,1199,4x5-0A-AOH,2
L6,1,15,1200,1214,4x5-0A-AOW,2
L6,2,15,1215,1229,4x5-0A-APL,2
L6,3,15,1230,1244,4x5-0A-AQA,2
L6,4,16,1245,1260,4x5-0A-AQQ,2
L6,5,16,1261,1276,4x5-0A-ARF,3
L6,6,15,1277,1291,4x5-0A-ARV,2
L6,7,15,1292,1306,4x5-0A-ASK,2
L6,8,17,1307,1323,4x5-0A-ATB,3
L6,9,18,1324,1341,4x5-0A-ATT,2
L6,10,15,1342,1356,4x5-0A-AUI,2
L6,11,16,1357,1372,4x5-0A-AUY,2
L6,12,15,1373,1387,4x5-0A-AVN,3
L6,13,15,1388,1402,4x5-0A-AWC,3
L6,14,18,1403,1420,4x5-0A-AWU,3
L6,15,15,1421,1435,4x5-0A-AXJ,3
L7,1,15,1436,1450,4x5-0A-AXY,3
L7,2,7,1451,1457,4x5-0A-AYF,3
L7,3,2,1458,1459,4x5-0A-AYH,4
L7,4,3,1460,1462,4x5-0A-AYK,4
L7,5,2,1463,1464,4x5-0A-AYM,4
L7,6,3,1465,1467,4x5-0A-AYP,4
L7,7,2,1468,1469,4x5-0A-AYR,4
L7,8,2,1470,1471,4x5-0A-AYT,4
L7,9,4,1472,1475,4x5-0A-AYX,4
L7,10,3,1476,1478,4x5-0A-AZA,4
L7,11,7,1479,1485,4x5-0A-AZH,4
L7,12,3,1486,1488,4x5-0A-AZK,4
L7,13,2,1489,1490,4x5-0A-AZM,4
L7,14,3,1491,1493,4x5-0A-AZP,4
L7,15,98,1494,1591,4x5-0A-BDV,2
L8,1,20,1592,1611,4x6-0A-AAK,2
L8,2,15,1612,1626,4x6-0A-AAY,2
L8,3,4,1627,1630,4x6-0A-ABD,3
L8,4,1,1631,1631,4x6-0A-ABE,2
L8,5,1,1632,1632,4x6-0A-ABF,2
L8,6,1,1633,1633,4x6-0A-ABG,2
L8,7,1,1634,1634,4x6-0A-ABH,5
L8,8,1,1635,1635,4x6-0A-ABI,1
L8,9,1,1636,1636,4x6-0A-ABJ,1
L8,10,1,1637,1637,4x6-0A-ABK,2
L8,11,1,1638,1638,4x6-0A-ABL,1
L8,12,1,1639,1639,4x6-0A-ABM,1
L8,13,1,1640,1640,4x6-0A-ABN,1
L8,14,1,1641,1641,4x6-0A-ABO,1
L8,15,1,1642,1642,4x6-0A-ABP,2
L9,1,20,1643,1662,4x6-0A-ACJ,2
L9,2,16,1663,1678,4x6-0A-ACZ,2
L9,3,17,1679,1695,4x6-0A-ADQ,2
L9,4,15,1696,1710,4x6-0A-AEF,2
L9,5,20,1711,1730,4x6-0A-AEZ,3
L9,6,6,1731,1736,4x6-0B-AAA,2
L9,7,27,1737,1763,4x6-0B-ABB,2
L9,8,15,1764,1778,4x6-0B-ABQ,2
L9,9,15,1779,1793,4x6-0B-ACF,2
L9,10,16,1794,1809,4x6-0B-ACV,2
L9,11,16,1810,1825,4x6-0B-ADL,2
L9,12,23,1826,1848,4x6-0B-AEI,2
L9,13,16,1849,1864,4x6-0B-AEY,2
L9,14,19,1865,1883,4x6-0B-AFR,3
L9,15,15,1884,1898,4x6-0B-AGG,2
L10,1,15,1899,1913,4x6-0B-AGV,3
L10,2,13,1914,1926,4x6-0B-AHI,2
L10,3,16,1927,1942,4x6-0B-AHY,2
L10,4,17,1943,1959,4x6-0B-AIP,2
L10,5,21,1960,1980,4x6-0B-AJK,2
L10,6,15,1981,1995,4x6-0B-AJZ,2
L10,7,17,1996,2012,4x6-0B-AKQ,3
L10,8,23,2013,2035,4x6-0B-ALN,3
L10,9,10,2036,2045,4x6-0B-ALX,2
L10,10,24,2046,2069,5x5-0A-AAH,2
L10,11,22,2070,2091,5x5-0A-ABD,2
L10,12,19,2092,2110,5x5-0A-ABW,2
L10,13,18,2111,2128,5x5-0A-ACO,2
L10,14,19,2129,2147,5x5-0A-ADH,3
L10,15,15,2148,2162,5x5-0A-ADW,2
L11,1,24,2163,2186,5x5-0A-AEU,3
L11,2,16,2187,2202,5x5-0A-AFK,2
L11,3,17,2203,2219,5x5-0A-AGB,3
L11,4,16,2220,2235,5x5-0A-AGR,3
L11,5,17,2236,2252,5x5-0A-AHI,2
L11,6,21,2253,2273,5x5-0A-AID,3
L11,7,15,2274,2288,5x5-0A-AIS,2
L11,8,16,2289,2304,5x5-0A-AJI,2
L11,9,17,2305,2321,5x5-0B-AAF,2
L11,10,19,2322,2340,5x5-0B-AAY,2
L11,11,15,2341,2355,5x5-0B-ABN,3
L11,12,17,2356,2372,5x5-0B-ACE,2
L11,13,19,2373,2391,5x5-0B-ACX,3
L11,14,17,2392,2408,5x5-0B-ADO,3
L11,15,15,2409,2423,5x5-0B-AED,2
L12,1,16,2424,2439,5x5-0B-AET,2
L12,2,16,2440,2455,5x5-0B-AFJ,2
L12,3,15,2456,2470,5x5-0B-AFY,2
L12,4,16,2471,2486,5x5-0B-AGO,3
L12,5,15,2487,2501,5x5-0B-AHD,3
L12,6,15,2502,2516,5x5-0B-AHS,2
L12,7,15,2517,2531,5x5-0B-AIH,3
L12,8,16,2532,2547,5x5-0B-AIX,3
L12,9,19,2548,2566,5x5-0B-AJQ,2
L12,10,15,2567,2581,5x5-0B-AKF,2
L12,11,15,2582,2596,5x5-0B-AKU,2
L12,12,15,2597,2611,5x5-0B-ALJ,2
L12,13,19,2612,2630,5x5-0B-AMC,2
L12,14,15,2631,2645,5x5-0B-AMR,2
L12,15,15,2646,2660,5x5-0B-ANG,2
L13,1,17,2661,2677,5x5-0B-ANX,2
L13,2,18,2678,2695,5x5-0B-AOP,2
L13,3,17,2696,2712,5x5-0B-APG,2
L13,4,15,2713,2727,5x5-0B-APV,2
L13,5,15,2728,2742,5x5-0B-AQK,2
L13,6,17,2743,2759,5x5-0B-ARB,2
L13,7,15,2760,2774,5x5-0B-ARQ,2
L13,8,16,2775,2790,5x5-0B-ASG,3
L13,9,23,2791,2813,5x5-0B-ATD,2
L13,10,17,2814,2830,5x5-0B-ATU,2
L13,11,15,2831,2845,5x5-0B-AUJ,2
L13,12,16,2846,2861,5x5-0B-AUX,3
L13,13,15,2862,2876,5x5-0B-AVO,2
L13,14,14,2877,2890,5x5-0B-AWC,3
L13,15,2,2891,2892,5x5-0B-AWE,2
L14,1,15,2893,2907,5x5-0B-AWT,3
L14,2,19,2908,2926,5x5-0B-AXM,2
L14,3,21,2927,2947,5x5-0B-AYH,2
L14,4,16,2948,2963,5x5-0B-AYX,3
L14,5,15,2964,2978,5x5-0B-AZM,3
L14,6,15,2979,2993,5x5-0B-BAB,2
L14,7,17,2994,3010,5x5-0B-BAS,3
L14,8,15,3011,3025,5x5-0B-BBH,3
L14,9,16,3026,3041,5x5-0B-BBX,2
L14,10,15,3042,3056,5x5-0B-BCM,2
L14,11,15,3057,3071,5x5-0B-BDB,2
L14,12,17,3072,3088,5x5-0B-BDS,2
L14,13,15,3089,3103,5x5-0B-BEH,2
L14,14,15,3104,3118,5x5-0B-BEW,2
L14,15,33,3119,3151,5x5-0B-BGD,2
L15,1,25,3152,3176,5x5-0B-BHC,2
L15,2,16,3177,3192,5x5-0B-BHS,2
L15,3,15,3193,3207,5x5-0B-BIH,3
L15,4,15,3208,3222,5x5-0B-BIW,2
L15,5,16,3223,3238,5x5-0B-BJM,2
L15,6,15,3239,3253,5x5-0B-BKB,2
L15,7,17,3254,3270,5x5-0B-BKS,3
L15,8,17,3271,3287,5x6-0A-AAM,2
L15,9,15,3288,3302,5x6-0A-ABB,2
L15,10,18,3303,3320,5x6-0A-ABT,3
L15,11,21,3321,3341,5x6-0A-ACO,2
L15,12,16,3342,3357,5x6-0A-ADE,3
L15,13,15,3358,3372,5x6-0A-ADT,3
L15,14,9,3373,3381,5x6-0A-AEF,3
L15,15,14,3382,3395,5x6-0A-AFB,2
L16,1,15,3396,3410,5x6-0A-AGC,3
L16,2,24,3411,3434,5x6-0A-AHP,2
L16,3,23,3435,3457,5x6-0A-AIW,2
L16,4,17,3458,3474,5x6-0A-AJX,2
L16,5,17,3475,3491,5x6-0A-AKP,2
L16,6,2,3492,3493,5x6-0A-AKR,4
L16,7,9,3494,3502,5x6-0A-ALE,4
L16,8,21,3503,3523,5x6-0A-AME,2
L16,9,15,3524,3538,5x6-0A-AMZ,3
L16,10,16,3539,3554,5x6-0A-ANP,2
L16,11,27,3555,3581,5x6-0A-AOW,3
L16,12,25,3582,3606,5x6-0A-AQA,3
L16,13,16,3607,3622,5x6-0A-AQS,2
L16,14,11,3623,3633,5x6-0A-ARL,3
L16,15,22,3634,3655,5x6-0A-ASS,2
L17,1,19,3656,3674,5x6-0A-ATM,3
L17,2,18,3675,3692,5x6-0A-AUS,2
L17,3,28,3693,3720,5x6-0A-AWV,2
L17,4,27,3721,3747,5x6-0A-AYC,3
L17,5,16,3748,3763,5x6-0A-AZF,3
L17,6,16,3764,3779,5x6-0A-BAC,3
L17,7,18,3780,3797,5x6-0A-BBL,3
L17,8,19,3798,3816,5x6-0A-BCE,3
L17,9,23,3817,3839,5x6-0A-BDN,2
L17,10,15,3840,3854,5x6-0A-BEC,3
L17,11,20,3855,3874,5x6-0A-BEW,2
L17,12,15,3875,3889,5x6-0A-BFM,2
L17,13,15,3890,3904,5x6-0A-BGE,3
L17,14,23,3905,3927,5x6-0A-BHF,3
L17,15,37,3928,3964,5x6-0A-BIR,2
L18,1,15,3965,3979,5x6-0A-BJI,3
L18,2,24,3980,4003,5x6-0A-BKJ,2
L18,3,15,4004,4018,5x6-0A-BKZ,3
L18,4,15,4019,4033,5x6-0A-BLR,3
L18,5,18,4034,4051,5x6-0A-BMX,3
L18,6,26,4052,4077,5x6-0A-BOD,2
L18,7,15,4078,4092,5x6-0A-BOS,2
L18,8,16,4093,4108,5x6-0A-BPK,3
L18,9,17,4109,4125,5x6-0A-BQB,2
L18,10,17,4126,4142,5x6-0A-BQS,2
L18,11,20,4143,4162,5x6-0A-BRW,3
L18,12,16,4163,4178,5x6-0A-BSR,3
L18,13,25,4179,4203,5x6-0A-BUB,2
L18,14,15,4204,4218,5x6-0A-BUQ,3
L18,15,16,4219,4234,5x6-0A-BVJ,2
L19,1,18,4235,4252,5x6-0A-BWF,2
