size,level_id,name,tier,snakes,path_mode,path_count,total_unique_solutions,solves_file,solve_count,tilebag_key,tiles_json,big,Adv_ID,CH-lvl
2x4,2x4-0A-AAA,AAA,0A,1,single,1,1,2x4-0A-AAA.json,1,ET_HL_SH_UT,"{""ET"": 1, ""HL"": 1, ""SH"": 1, ""UT"": 1}",,,
2x4,2x4-0A-AAB,AAB,0A,1,single,1,1,2x4-0A-AAB.json,1,ET_SH_VL,"{""ET"": 1, ""SH"": 1, ""VL"": 1}",,,
2x4,2x4-0A-AAC,AAC,0A,1,single,1,1,2x4-0A-AAC.json,1,ET_LC_SH,"{""ET"": 1, ""LC"": 1, ""SH"": 1}",,,
2x4,2x4-0B-AAA,AAA,0B,1,single,1,1,2x4-0B-AAA.json,1,ET_SH_SZ,"{""ET"": 1, ""SH"": 1, ""SZ"": 1}",,,
2x4,2x4-0C-AAA,AAA,0C,1,single,1,1,2x4-0C-AAA.json,1,E2_ET_RC_SH,"{""E2"": 1, ""ET"": 1, ""RC"": 1, ""SH"": 1}",,,
2x4,2x4-0C-AAB,AAB,0C,1,single,1,1,2x4-0C-AAB.json,1,E1_ET_LC_SH,"{""E1"": 1, ""ET"": 1, ""LC"": 1, ""SH"": 1}",,,
2x4,2x4-0C-AAC,AAC,0C,1,single,1,1,2x4-0C-AAC.json,1,E2_ET_SH_SZ,"{""E2"": 1, ""ET"": 1, ""SH"": 1, ""SZ"": 1}",,,
2x4,2x4-0C-AAD,AAD,0C,1,single,1,1,2x4-0C-AAD.json,1,E2_ET_SH_VL,"{""E2"": 1, ""ET"": 1, ""SH"": 1, ""VL"": 1}",,,
2x4,2x4-0C-AAE,AAE,0C,1,single,1,1,2x4-0C-AAE.json,1,E2_ET_LL_SH,"{""E2"": 1, ""ET"": 1, ""LL"": 1, ""SH"": 1}",,,
3x3,3x3-0A-AAC,AAC,0A,1,single,1,2,3x3-0A-AAC.json,2,ET_LL_SH_UT,"{""ET"": 1, ""LL"": 1, ""SH"": 1, ""UT"": 1}",,,
3x3,3x3-0A-AAA,AAA,0A,1,single,1,1,3x3-0A-AAA.json,1,ET_LC_SH_UT,"{""ET"": 1, ""LC"": 1, ""SH"": 1, ""UT"": 1}",,,
3x3,3x3-0A-AAB,AAB,0A,1,single,1,1,3x3-0A-AAB.json,1,ET_SH_UT_VL,"{""ET"": 1, ""SH"": 1, ""UT"": 1, ""VL"": 1}",,,
3x3,3x3-0A-AAE,AAE,0A,1,single,1,1,3x3-0A-AAE.json,1,ET_RC_SH_UT,"{""ET"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1}",,,
3x3,3x3-0A-AAF,AAF,0A,1,single,1,1,3x3-0A-AAF.json,1,ET_LRx2_SH,"{""ET"": 1, ""LR"": 2, ""SH"": 1}",,,
3x3,3x3-0B-AAA,AAA,0B,1,single,1,1,3x3-0B-AAA.json,1,ET_SH_SZ_UT,"{""ET"": 1, ""SH"": 1, ""SZ"": 1, ""UT"": 1}",,,
3x3,3x3-0C-AAA,AAA,0C,1,single,1,1,3x3-0C-AAA.json,1,E1_ET_LC_SH_UT,"{""E1"": 1, ""ET"": 1, ""LC"": 1, ""SH"": 1, ""UT"": 1}",,,
3x3,3x3-0C-AAB,AAB,0C,1,single,1,1,3x3-0C-AAB.json,1,E1_ET_RC_SH_UT,"{""E1"": 1, ""ET"": 1, ""RC"": 1, ""SH"": 1, ""UT"": 1}",,,
3x3,3x3-0C-AAC,AAC,0C,1,single,1,1,3x3-0C-AAC.json,1,E1_ET_SH_SZ_UT,"{""E1"": 1, ""ET"": 1, ""SH"": 1, ""SZ"": 1, ""UT"": 1}",,,
3x3,3x3-0C-AAD,AAD,0C,1,single,1,1,3x3-0C-AAD.json,1,E1_ET_LL_SH_UT,"{""E1"": 1, ""ET"": 1, ""LL"": 1, ""SH"": 1, ""UT"": 1}",,,
3x3,3x3-0C-AAE,AAE,0C,1,single,1,1,3x3-0C-AAE.json,1,E2_ET_LR_SH,"{""E2"": 1, ""ET"": 1, ""LR"": 1, ""SH"": 1}",,,
3x3,3x3-1A-AAA,AAA,1A,2,multi,2,1,3x3-1A-AAA.json,1,ETx2_SHx2,"{""ET"": 2, ""SH"": 2}",,,
