challenge_date,level_id,total_solutions,,Day Of Week,Weekly,
2026-06-07,5x6-0A-DKR.json,24,,1,1,
2026-06-08,5x6-0B-APT.json,347,,2,1,
2026-06-09,5x6-0A-CBP.json,65,,3,1,
2026-06-10,5x6-0A-AFL.json,42,,4,1,
2026-06-11,5x6-0A-CPZ.json,34,,5,1,
2026-06-12,5x6-0A-CTU.json,28,,6,1,
2026-06-13,5x6-0A-DMD.json,24,,1,2,
2026-06-14,5x6-0B-APX.json,291,,2,3,
2026-06-15,5x6-0A-CWX.json,65,,3,4,
2026-06-16,5x6-0A-AFU.json,42,,4,5,
2026-06-17,5x6-0A-DKU.json,34,,5,6,
2026-06-18,5x6-0A-DCA.json,28,,6,7,
2026-06-19,5x6-0A-DYV.json,24,,1,8,
2026-06-20,5x6-0B-APY.json,274,,2,9,
2026-06-21,5x6-0A-AXA.json,64,,3,10,
2026-06-22,5x6-0A-AIS.json,42,,4,11,
2026-06-23,5x6-0A-DQR.json,34,,5,12,
2026-06-24,5x6-0A-DHY.json,28,,6,13,
2026-06-25,5x6-0B-ARI.json,24,,1,14,
2026-06-26,5x6-0A-COS.json,261,,2,15,
2026-06-27,5x6-0A-BXF.json,64,,3,16,
2026-06-28,5x6-0A-ASK.json,42,,4,17,
2026-06-29,5x6-0A-DVA.json,34,,5,18,
2026-06-30,5x6-0A-DJD.json,28,,6,19,
2026-07-01,5x6-0B-AVX.json,24,,1,20,
2026-07-02,5x6-0A-COQ.json,238,,2,21,
2026-07-03,5x6-0A-CIL.json,64,,3,22,
2026-07-04,5x6-0A-AWX.json,42,,4,23,
2026-07-05,5x6-0A-DWA.json,34,,5,24,
2026-07-06,5x6-0A-DVH.json,28,,6,25,
2026-07-07,5x6-0A-AFF.json,23,,1,26,
2026-07-08,5x6-0A-CVB.json,225,,2,27,
2026-07-09,5x6-0A-DIB.json,64,,3,28,
2026-07-10,5x6-0A-BCV.json,42,,4,29,
2026-07-11,5x6-0B-AOR.json,34,,5,30,
2026-07-12,5x6-0A-DYO.json,28,,6,31,
2026-07-13,5x6-0A-ATR.json,23,,1,32,
2026-07-14,5x6-0A-CRB.json,210,,2,33,
2026-07-15,5x6-0A-AHF.json,63,,3,34,
2026-07-16,5x6-0A-BMF.json,42,,4,35,
2026-07-17,5x6-0B-ARH.json,34,,5,36,
