week_start_sunday,schedule,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun_id,Mon_id,Tue_id,Wed_id,Thu_id,Fri_id,Sat_id
2026-06-21,pre-fix,,28,41,33,28,12,262,,5x6-0B-BIF,5x6-0A-BFX,5x6-0A-CJZ,5x6-0A-AMY,5x6-0B-BYJ,5x6-0B-CID
2026-06-28,pre-fix,44,28,41,33,28,12,262,5x6-0B-BKE,5x6-0B-BRQ,5x6-0A-AMX,5x6-0A-CJR,5x6-0A-AKM,5x6-0B-BYY,5x6-0B-CID
2026-07-05,pre-fix,44,28,41,33,28,12,206,5x6-0B-BOW,5x6-0B-BUB,5x6-0A-ALC,5x6-0A-CGD,5x6-0A-AHJ,5x6-0B-CBN,5x6-0B-CAM
2026-07-12,pre-fix,44,28,41,33,14,12,202,5x6-0B-BTF,5x6-0B-BYT,5x6-0A-AJM,5x6-0A-CCT,5x6-0B-CHO,5x6-0B-CBX,5x6-0B-BJO
2026-07-19,pre-fix,44,28,40,33,14,12,202,5x6-0B-CCR,5x6-0B-BZT,5x6-0B-AXN,5x6-0A-CCK,5x6-0B-CHT,5x6-0B-CEV,5x6-0B-BOJ
2026-07-26,pre-fix,44,28,40,33,14,12,189,5x6-0B-CER,5x6-0B-CCA,5x6-0A-CUP,5x6-0A-CBT,5x6-0B-CMD,5x6-0B-CEX,5x6-0B-BNR
2026-08-02,pre-fix,44,28,40,33,14,12,179,5x6-0B-CSU,5x6-0B-CSJ,5x6-0A-COA,5x6-0A-CAS,5x6-0B-CON,5x6-0B-CFI,5x6-0B-BPD
2026-08-09,pre-fix,87,28,40,33,14,12,347,5x6-0A-CST,5x6-0B-CWB,5x6-0A-CMC,5x6-0A-BZO,5x6-0B-CUN,5x6-0B-CHG,5x6-0B-APT
2026-08-16,pre-fix,86,28,40,33,14,12,153,5x6-0A-CYT,5x6-0B-CYP,5x6-0A-CHO,5x6-0A-BZF,5x6-0B-CVP,5x6-0B-CMK,5x6-0B-CHS
2026-08-23,pre-fix,85,55,40,33,14,12,291,5x6-0B-ASH,5x6-0B-BAR,5x6-0A-AWY,5x6-0A-BRU,5x6-0B-CWV,5x6-0B-CMU,5x6-0B-APX
2026-08-30,pre-fix,84,55,40,33,14,23,139,5x6-0A-CUZ,5x6-0A-COT,5x6-0A-ASD,5x6-0A-BDI,5x6-0B-CZH,5x6-0B-ASS,5x6-0B-CBC
2026-09-06,pre-fix,84,55,40,33,14,23,131,5x6-0A-AEN,5x6-0A-COO,5x6-0A-AQY,5x6-0A-AUM,5x6-0B-DHM,5x6-0A-DZT,5x6-0B-CXT
2026-09-13,pre-fix,42,54,40,33,14,23,261,5x6-0B-BJV,5x6-0A-CVT,5x6-0A-AIO,5x6-0A-AJO,5x6-0B-DHT,5x6-0A-DZS,5x6-0A-COS
2026-09-20,mixed,42,129,54,41,40,32,23,5x6-0B-CNO,5x6-0B-BOM,5x6-0A-CUS,5x6-0B-BHH,5x6-0A-AIM,5x6-0B-AWW,5x6-0A-DUQ
2026-09-27,mon-peak,14,128,54,41,32,23,20,5x6-0B-BNE,5x6-0B-BTI,5x6-0A-CRO,5x6-0B-BJE,5x6-0A-DVJ,5x6-0A-DDJ,5x6-0B-CNK
2026-10-04,mon-peak,14,122,54,41,32,23,20,5x6-0B-BOI,5x6-0B-BHS,5x6-0A-CNN,5x6-0B-CKU,5x6-0A-CXC,5x6-0A-CUC,5x6-0B-CRH
2026-10-11,mon-peak,14,122,81,54,32,23,20,5x6-0B-BRC,5x6-0B-BHV,5x6-0A-CWS,5x6-0A-AJF,5x6-0A-CUR,5x6-0A-CUA,5x6-0B-CUC
2026-10-18,mon-peak,14,238,81,54,32,23,20,5x6-0B-BSX,5x6-0A-COQ,5x6-0A-CRG,5x6-0A-AEA,5x6-0A-CTS,5x6-0A-CJQ,5x6-0B-CYS
2026-10-25,mon-peak,14,117,40,32,27,23,20,5x6-0B-BUH,5x6-0B-BOD,5x6-0B-BJX,5x6-0A-CRM,5x6-0B-BQQ,5x6-0A-CFT,5x6-0B-BKC
2026-11-01,mon-peak,14,116,40,32,27,23,20,5x6-0B-BUI,5x6-0B-BIB,5x6-0B-BLG,5x6-0A-BYR,5x6-0B-BTV,5x6-0A-CAE,5x6-0B-BOX
